Deep learning_US,AI_US,ChatGPT_US,Machine learning_US,Data Science_US,Deep learning_GB,AI_GB,ChatGPT_GB,Machine learning_GB,Data Science_GB,Deep learning_DE,AI_DE,ChatGPT_DE,Machine learning_DE,Data Science_DE,Deep learning_FR,AI_FR,ChatGPT_FR,Machine learning_FR,Data Science_FR,Deep learning_ES,AI_ES,ChatGPT_ES,Machine learning_ES,Data Science_ES,date
0,0,0,73,82,0,7,0,57,61,71,10,0,0,48,59,34,0,0,56,50,0,0,54,0,2019-01-06
0,0,0,73,92,0,6,0,56,61,69,11,0,0,53,66,37,0,0,52,46,0,0,46,0,2019-01-13
0,0,0,77,90,0,7,0,62,68,92,12,0,0,54,74,32,0,0,79,51,0,0,54,0,2019-01-20
0,0,0,83,90,0,7,0,61,69,85,11,0,0,54,80,34,0,0,69,42,0,0,56,0,2019-01-27
0,0,0,76,80,0,7,0,63,72,81,11,0,0,51,66,33,0,0,94,60,0,0,52,0,2019-02-03
0,0,0,81,83,0,7,0,64,70,80,11,0,0,66,75,33,0,0,64,40,0,0,73,0,2019-02-10
0,0,0,78,78,0,7,0,68,71,74,11,0,0,67,80,33,0,0,76,40,0,0,55,0,2019-02-17
0,0,0,79,79,0,7,0,65,64,80,12,0,0,54,70,32,0,0,50,48,0,0,62,0,2019-02-24
0,0,0,81,81,0,7,0,73,63,80,11,0,0,50,71,35,0,0,72,66,0,0,62,0,2019-03-03
0,0,0,80,81,0,6,0,63,67,71,10,0,0,55,74,32,0,0,77,71,0,0,81,0,2019-03-10
0,0,0,79,78,0,7,0,61,67,71,11,0,0,57,83,37,0,0,53,41,0,0,61,0,2019-03-17
0,0,0,81,88,0,7,0,59,70,78,10,0,0,60,90,36,0,0,68,58,0,0,61,0,2019-03-24
0,0,0,78,82,0,7,0,64,68,80,11,0,0,66,82,32,0,0,97,54,0,0,74,0,2019-03-31
0,0,0,79,86,0,7,0,62,69,80,11,0,0,52,69,36,0,0,73,59,0,0,66,0,2019-04-07
0,0,0,77,76,0,6,0,56,53,71,10,0,0,48,62,31,0,0,72,60,0,0,43,0,2019-04-14
0,0,0,79,82,0,6,0,54,55,77,12,0,0,49,67,35,0,0,62,53,0,0,64,0,2019-04-21
0,0,0,80,82,0,7,0,62,67,63,11,0,0,65,55,33,0,0,62,44,0,0,48,0,2019-04-28
0,0,0,77,74,0,7,0,65,60,74,12,0,0,72,65,31,0,0,62,61,0,0,60,0,2019-05-05
0,0,0,75,74,0,7,0,62,69,97,13,0,0,64,59,31,0,0,74,73,0,0,54,0,2019-05-12
0,0,0,72,81,0,7,0,62,69,80,12,0,0,55,78,32,0,0,67,63,0,0,63,0,2019-05-19
0,0,0,72,76,0,7,0,56,61,92,12,0,0,50,46,34,0,0,56,52,0,0,75,0,2019-05-26
0,0,0,74,76,0,7,0,60,65,69,12,0,0,54,74,32,0,0,67,59,0,0,64,0,2019-06-02
0,0,0,79,78,0,8,0,55,80,65,12,0,0,49,68,34,0,0,56,64,0,0,69,0,2019-06-09
0,0,0,81,86,0,7,0,60,67,80,12,0,0,57,66,29,0,0,61,72,0,0,70,0,2019-06-16
0,0,0,78,77,0,7,0,59,72,100,11,0,0,62,60,30,0,0,70,51,0,0,47,0,2019-06-23
0,0,0,68,69,0,7,0,67,69,90,11,0,0,66,68,28,0,0,76,56,0,0,62,0,2019-06-30
0,0,0,74,76,0,7,0,60,72,85,12,0,0,72,67,30,0,0,62,68,0,0,58,0,2019-07-07
0,0,0,78,78,0,7,0,62,75,91,11,0,0,59,74,29,0,0,75,54,0,0,63,0,2019-07-14
0,0,0,71,73,0,7,0,55,62,68,12,0,0,57,55,29,0,0,59,50,0,0,45,0,2019-07-21
0,0,0,70,78,0,6,0,62,76,76,10,0,0,60,43,29,0,0,68,38,0,0,52,0,2019-07-28
0,0,0,77,81,0,6,0,58,76,83,13,0,0,60,47,29,0,0,56,24,0,0,42,0,2019-08-04
0,0,0,76,88,0,6,0,59,61,67,13,0,0,70,43,28,0,0,59,50,0,0,49,0,2019-08-11
0,0,0,76,91,0,6,0,54,61,84,12,0,0,62,53,32,0,0,73,46,0,0,47,0,2019-08-18
0,0,0,72,93,0,6,0,49,61,79,12,0,0,60,62,31,0,0,66,48,0,0,39,0,2019-08-25
0,0,0,70,87,0,6,0,49,59,63,11,0,0,55,68,35,0,0,88,46,0,0,49,0,2019-09-01
0,0,0,76,100,0,7,0,55,79,66,12,0,0,65,66,30,0,0,85,26,0,0,55,0,2019-09-08
0,0,0,84,97,0,7,0,66,94,78,12,0,0,65,65,31,0,0,80,49,0,0,59,0,2019-09-15
0,0,0,78,94,0,7,0,66,83,72,11,0,0,62,70,34,0,0,83,40,0,0,62,0,2019-09-22
0,0,0,79,91,0,7,0,70,83,69,11,0,0,53,79,35,0,0,100,46,0,0,63,0,2019-09-29
