date,Messi,Ronaldo,Mbappe
2023-01-08,41,80,34
2023-01-15,43,100,31
2023-01-22,35,65,28
2023-01-29,31,73,30
2023-02-05,35,92,26
2023-02-12,28,55,32
2023-02-19,32,57,26
2023-02-26,41,70,31
2023-03-05,31,56,30
2023-03-12,30,62,22
2023-03-19,35,71,25
2023-03-26,37,69,22
2023-04-02,38,65,22
2023-04-09,31,57,20
2023-04-16,30,55,18
2023-04-23,28,58,18
2023-04-30,39,55,17
2023-05-07,37,55,17
2023-05-14,27,48,16
2023-05-21,30,60,15
2023-05-28,39,54,17
2023-06-04,100,63,18
2023-06-11,43,52,43
2023-06-18,47,66,47
2023-06-25,34,56,49
2023-07-02,29,54,48
2023-07-09,29,48,47
2023-07-16,60,53,51
2023-07-23,47,54,100
2023-07-30,39,54,65
2023-08-06,40,60,53
2023-08-13,36,60,43
2023-08-20,42,54,32
2023-08-27,35,52,50
2023-09-03,37,54,22
2023-09-10,30,51,18
2023-09-17,31,53,15
2023-09-24,29,51,15
2023-10-01,27,46,16
2023-10-08,27,61,17
2023-10-15,31,65,15
2023-10-22,27,54,15
2023-10-29,52,65,21
2023-11-05,24,52,17
2023-11-12,21,52,16
2023-11-19,24,46,15
2023-11-26,22,44,14
2023-12-03,19,45,13
2023-12-10,20,46,14
2023-12-17,19,56,18
2023-12-24,21,62,16
2023-12-31,25,64,18
