date,Messi,country,Ronaldo,Mbappe
2023-01-08,30.0,US,,
2023-01-15,31.0,US,,
2023-01-22,25.0,US,,
2023-01-29,22.0,US,,
2023-02-05,22.0,US,,
2023-02-12,20.0,US,,
2023-02-19,20.0,US,,
2023-02-26,25.0,US,,
2023-03-05,17.0,US,,
2023-03-12,18.0,US,,
2023-03-19,19.0,US,,
2023-03-26,20.0,US,,
2023-04-02,19.0,US,,
2023-04-09,17.0,US,,
2023-04-16,18.0,US,,
2023-04-23,17.0,US,,
2023-04-30,24.0,US,,
2023-05-07,22.0,US,,
2023-05-14,18.0,US,,
2023-05-21,19.0,US,,
2023-05-28,24.0,US,,
2023-06-04,100.0,US,,
2023-06-11,33.0,US,,
2023-06-18,27.0,US,,
2023-06-25,21.0,US,,
2023-07-02,19.0,US,,
2023-07-09,27.0,US,,
2023-07-16,81.0,US,,
2023-07-23,58.0,US,,
2023-07-30,32.0,US,,
2023-08-06,41.0,US,,
2023-08-13,34.0,US,,
2023-08-20,43.0,US,,
2023-08-27,34.0,US,,
2023-09-03,33.0,US,,
2023-09-10,27.0,US,,
2023-09-17,29.0,US,,
2023-09-24,33.0,US,,
2023-10-01,32.0,US,,
2023-10-08,27.0,US,,
2023-10-15,27.0,US,,
2023-10-22,23.0,US,,
2023-10-29,33.0,US,,
2023-11-05,20.0,US,,
2023-11-12,18.0,US,,
2023-11-19,18.0,US,,
2023-11-26,16.0,US,,
2023-12-03,17.0,US,,
2023-12-10,17.0,US,,
2023-12-17,15.0,US,,
2023-12-24,15.0,US,,
2023-12-31,20.0,US,,
2023-01-08,,US,83.0,
2023-01-15,,US,100.0,
2023-01-22,,US,68.0,
2023-01-29,,US,59.0,
2023-02-05,,US,75.0,
2023-02-12,,US,50.0,
2023-02-19,,US,49.0,
2023-02-26,,US,55.0,
2023-03-05,,US,46.0,
2023-03-12,,US,55.0,
2023-03-19,,US,60.0,
2023-03-26,,US,78.0,
2023-04-02,,US,54.0,
2023-04-09,,US,51.0,
2023-04-16,,US,49.0,
2023-04-23,,US,49.0,
2023-04-30,,US,53.0,
2023-05-07,,US,52.0,
2023-05-14,,US,52.0,
2023-05-21,,US,54.0,
2023-05-28,,US,51.0,
2023-06-04,,US,62.0,
2023-06-11,,US,47.0,
2023-06-18,,US,53.0,
2023-06-25,,US,44.0,
2023-07-02,,US,43.0,
2023-07-09,,US,40.0,
2023-07-16,,US,50.0,
2023-07-23,,US,55.0,
2023-07-30,,US,36.0,
2023-08-06,,US,47.0,
2023-08-13,,US,58.0,
2023-08-20,,US,51.0,
2023-08-27,,US,46.0,
2023-09-03,,US,46.0,
2023-09-10,,US,49.0,
2023-09-17,,US,50.0,
2023-09-24,,US,51.0,
2023-10-01,,US,48.0,
2023-10-08,,US,65.0,
2023-10-15,,US,60.0,
2023-10-22,,US,57.0,
2023-10-29,,US,60.0,
2023-11-05,,US,56.0,
2023-11-12,,US,48.0,
2023-11-19,,US,47.0,
2023-11-26,,US,49.0,
2023-12-03,,US,46.0,
2023-12-10,,US,46.0,
2023-12-17,,US,48.0,
2023-12-24,,US,51.0,
2023-12-31,,US,44.0,
2023-01-08,,US,,26.0
2023-01-15,,US,,23.0
2023-01-22,,US,,20.0
2023-01-29,,US,,16.0
2023-02-05,,US,,16.0
2023-02-12,,US,,17.0
2023-02-19,,US,,14.0
2023-02-26,,US,,17.0
2023-03-05,,US,,14.0
2023-03-12,,US,,14.0
2023-03-19,,US,,13.0
